code,name,name_en,name_acr,full_name,full_name_en,code_name,province_code
063,Bạch Thông,Bach Thong,bt,Huyện Bạch Thông,Bach Thong District,bachthong,06
064,Chợ Đồn,Cho Don,cd,Huyện Chợ Đồn,Cho Don District,chodon,06
065,Chợ Mới,Cho Moi,cm,Huyện Chợ Mới,Cho Moi District,chomoi,06
066,Na Rì,Na Ri,nr,Huyện Na Rì,Na Ri District,nari,06
070,Tuyên Quang,Tuyen Quang,tq,Thành phố Tuyên Quang,Tuyen Quang City,tuyenquang,08
071,Lâm Bình,Lam Binh,lb,Huyện Lâm Bình,Lam Binh District,lambinh,08
072,Na Hang,Na Hang,nh,Huyện Na Hang,Na Hang District,nahang,08
073,Chiêm Hóa,Chiem Hoa,ch,Huyện Chiêm Hóa,Chiem Hoa District,chiemhoa,08
074,Hàm Yên,Ham Yen,hy,Huyện Hàm Yên,Ham Yen District,hamyen,08
075,Yên Sơn,Yen Son,ys,Huyện Yên Sơn,Yen Son District,yenson,08
076,Sơn Dương,Son Duong,sd,Huyện Sơn Dương,Son Duong District,sonduong,08
080,Lào Cai,Lao Cai,lc,Thành phố Lào Cai,Lao Cai City,laocai,10
082,Bát Xát,Bat Xat,bx,Huyện Bát Xát,Bat Xat District,batxat,10
083,Mường Khương,Muong Khuong,mk,Huyện Mường Khương,Muong Khuong District,muongkhuong,10
084,Si Ma Cai,Si Ma Cai,sm,Huyện Si Ma Cai,Si Ma Cai District,simacai,10
085,Bắc Hà,Bac Ha,bh,Huyện Bắc Hà,Bac Ha District,bacha,10
086,Bảo Thắng,Bao Thang,bt,Huyện Bảo Thắng,Bao Thang District,baothang,10
087,Bảo Yên,Bao Yen,by,Huyện Bảo Yên,Bao Yen District,baoyen,10
088,Sa Pa,Sa Pa,sp,Thị xã Sa Pa,Sa Pa Town,sapa,10
089,Văn Bàn,Van Ban,vb,Huyện Văn Bàn,Van Ban District,vanban,10
094,Điện Biên Phủ,Dien Bien Phu,db,Thành phố Điện Biên Phủ,Dien Bien Phu City,dienbienphu,11
095,Mường Lay,Muong Lay,ml,Thị xã Mường Lay,Muong Lay Town,muonglay,11
096,Mường Nhé,Muong Nhe,mn,Huyện Mường Nhé,Muong Nhe District,muongnhe,11
097,Mường Chà,Muong Cha,mc,Huyện Mường Chà,Muong Cha District,muongcha,11
098,Tủa Chùa,Tua Chua,tc,Huyện Tủa Chùa,Tua Chua District,tuachua,11
099,Tuần Giáo,Tuan Giao,tg,Huyện Tuần Giáo,Tuan Giao District,tuangiao,11
100,Điện Biên,Dien Bien,db,Huyện Điện Biên,Dien Bien District,dienbien,11
101,Điện Biên Đông,Dien Bien Dong,dbd,Huyện Điện Biên Đông,Dien Bien Dong District,dienbiendong,11
102,Mường Ảng,Muong Ang,ma,Huyện Mường Ảng,Muong Ang District,muongang,11
103,Nậm Pồ,Nam Po,np,Huyện Nậm Pồ,Nam Po District,nampo,11
105,Lai Châu,Lai Chau,lc,Thành phố Lai Châu,Lai Chau City,laichau,12
106,Tam Đường,Tam Duong,td,Huyện Tam Đường,Tam Duong District,tamduong,12
107,Mường Tè,Muong Te,mt,Huyện Mường Tè,Muong Te District,muongte,12
108,Sìn Hồ,Sin Ho,sh,Huyện Sìn Hồ,Sin Ho District,sinho,12
109,Phong Thổ,Phong Tho,pt,Huyện Phong Thổ,Phong Tho District,phongtho,12
110,Than Uyên,Than Uyen,tu,Huyện Than Uyên,Than Uyen District,thanuyen,12
111,Tân Uyên,Tan Uyen,tu,Huyện Tân Uyên,Tan Uyen District,tanuyen,12
112,Nậm Nhùn,Nam Nhun,nn,Huyện Nậm Nhùn,Nam Nhun District,namnhun,12
116,Sơn La,Son La,sl,Thành phố Sơn La,Son La City,sonla,14
118,Quỳnh Nhai,Quynh Nhai,qn,Huyện Quỳnh Nhai,Quynh Nhai District,quynhnhai,14
119,Thuận Châu,Thuan Chau,tc,Huyện Thuận Châu,Thuan Chau District,thuanchau,14
120,Mường La,Muong La,ml,Huyện Mường La,Muong La District,muongla,14
121,Bắc Yên,Bac Yen,by,Huyện Bắc Yên,Bac Yen District,bacyen,14
122,Phù Yên,Phu Yen,py,Huyện Phù Yên,Phu Yen District,phuyen,14
123,Mộc Châu,Moc Chau,mc,Huyện Mộc Châu,Moc Chau District,mocchau,14
124,Yên Châu,Yen Chau,yc,Huyện Yên Châu,Yen Chau District,yenchau,14
125,Mai Sơn,Mai Son,ms,Huyện Mai Sơn,Mai Son District,maison,14
126,Sông Mã,Song Ma,sm,Huyện Sông Mã,Song Ma District,songma,14
127,Sốp Cộp,Sop Cop,sc,Huyện Sốp Cộp,Sop Cop District,sopcop,14
128,Vân Hồ,Van Ho,vh,Huyện Vân Hồ,Van Ho District,vanho,14
132,Yên Bái,Yen Bai,yb,Thành phố Yên Bái,Yen Bai City,yenbai,15
133,Nghĩa Lộ,Nghia Lo,nl,Thị xã Nghĩa Lộ,Nghia Lo Town,nghialo,15
135,Lục Yên,Luc Yen,ly,Huyện Lục Yên,Luc Yen District,lucyen,15
136,Văn Yên,Van Yen,vy,Huyện Văn Yên,Van Yen District,vanyen,15
137,Mù Căng Chải,Mu Cang Chai,mcc,Huyện Mù Căng Chải,Mu Cang Chai District,mucangchai,15
138,Trấn Yên,Tran Yen,ty,Huyện Trấn Yên,Tran Yen District,tranyen,15
139,Trạm Tấu,Tram Tau,tt,Huyện Trạm Tấu,Tram Tau District,tramtau,15
140,Văn Chấn,Van Chan,vc,Huyện Văn Chấn,Van Chan District,vanchan,15
141,Yên Bình,Yen Binh,yb,Huyện Yên Bình,Yen Binh District,yenbinh,15
148,Hòa Bình,Hoa Binh,hb,Thành phố Hòa Bình,Hoa Binh City,hoabinh,17
150,Đà Bắc,Da Bac,db,Huyện Đà Bắc,Da Bac District,dabac,17
152,Lương Sơn,Luong Son,ls,Huyện Lương Sơn,Luong Son District,luongson,17
153,Kim Bôi,Kim Boi,kb,Huyện Kim Bôi,Kim Boi District,kimboi,17
154,Cao Phong,Cao Phong,cp,Huyện Cao Phong,Cao Phong District,caophong,17
155,Tân Lạc,Tan Lac,tl,Huyện Tân Lạc,Tan Lac District,tanlac,17
156,Mai Châu,Mai Chau,mc,Huyện Mai Châu,Mai Chau District,maichau,17
157,Lạc Sơn,Lac Son,ls,Huyện Lạc Sơn,Lac Son District,lacson,17
158,Yên Thủy,Yen Thuy,yt,Huyện Yên Thủy,Yen Thuy District,yenthuy,17
159,Lạc Thủy,Lac Thuy,lt,Huyện Lạc Thủy,Lac Thuy District,lacthuy,17
164,Thái Nguyên,Thai Nguyen,tn,Thành phố Thái Nguyên,Thai Nguyen City,thainguyen,19
165,Sông Công,Song Cong,sc,Thành phố Sông Công,Song Cong City,songcong,19
167,Định Hóa,Dinh Hoa,dh,Huyện Định Hóa,Dinh Hoa District,dinhhoa,19
168,Phú Lương,Phu Luong,pl,Huyện Phú Lương,Phu Luong District,phuluong,19
169,Đồng Hỷ,Dong Hy,dh,Huyện Đồng Hỷ,Dong Hy District,donghy,19
170,Võ Nhai,Vo Nhai,vn,Huyện Võ Nhai,Vo Nhai District,vonhai,19
171,Đại Từ,Dai Tu,dt,Huyện Đại Từ,Dai Tu District,daitu,19
172,Phổ Yên,Pho Yen,py,Thành phố Phổ Yên,Pho Yen City,phoyen,19
173,Phú Bình,Phu Binh,pb,Huyện Phú Bình,Phu Binh District,phubinh,19
178,Lạng Sơn,Lang Son,ls,Thành phố Lạng Sơn,Lang Son City,langson,20
180,Tràng Định,Trang Dinh,td,Huyện Tràng Định,Trang Dinh District,trangdinh,20
181,Bình Gia,Binh Gia,bg,Huyện Bình Gia,Binh Gia District,binhgia,20
182,Văn Lãng,Van Lang,vl,Huyện Văn Lãng,Van Lang District,vanlang,20
183,Cao Lộc,Cao Loc,cl,Huyện Cao Lộc,Cao Loc District,caoloc,20
184,Văn Quan,Van Quan,vq,Huyện Văn Quan,Van Quan District,vanquan,20
185,Bắc Sơn,Bac Son,bs,Huyện Bắc Sơn,Bac Son District,bacson,20
186,Hữu Lũng,Huu Lung,hl,Huyện Hữu Lũng,Huu Lung District,huulung,20
187,Chi Lăng,Chi Lang,cl,Huyện Chi Lăng,Chi Lang District,chilang,20
188,Lộc Bình,Loc Binh,lb,Huyện Lộc Bình,Loc Binh District,locbinh,20
189,Đình Lập,Dinh Lap,dl,Huyện Đình Lập,Dinh Lap District,dinhlap,20
193,Hạ Long,Ha Long,hl,Thành phố Hạ Long,Ha Long City,halong,22
194,Móng Cái,Mong Cai,mc,Thành phố Móng Cái,Mong Cai City,mongcai,22
195,Cẩm Phả,Cam Pha,cp,Thành phố Cẩm Phả,Cam Pha City,campha,22
196,Uông Bí,Uong Bi,ub,Thành phố Uông Bí,Uong Bi City,uongbi,22
198,Bình Liêu,Binh Lieu,bl,Huyện Bình Liêu,Binh Lieu District,binhlieu,22
199,Tiên Yên,Tien Yen,ty,Huyện Tiên Yên,Tien Yen District,tienyen,22
200,Đầm Hà,Dam Ha,dh,Huyện Đầm Hà,Dam Ha District,damha,22
201,Hải Hà,Hai Ha,hh,Huyện Hải Hà,Hai Ha District,haiha,22
202,Ba Chẽ,Ba Che,bc,Huyện Ba Chẽ,Ba Che District,bache,22
203,Vân Đồn,Van Don,vd,Huyện Vân Đồn,Van Don District,vandon,22
205,Đông Triều,Dong Trieu,dt,Thị xã Đông Triều,Dong Trieu Town,dongtrieu,22
206,Quảng Yên,Quang Yen,qy,Thị xã Quảng Yên,Quang Yen Town,quangyen,22
207,Cô Tô,Co To,ct,Huyện Cô Tô,Co To District,coto,22
213,Bắc Giang,Bac Giang,bg,Thành phố Bắc Giang,Bac Giang City,bacgiang,24
215,Yên Thế,Yen The,yt,Huyện Yên Thế,Yen The District,yenthe,24
216,Tân Yên,Tan Yen,ty,Huyện Tân Yên,Tan Yen District,tanyen,24
217,Lạng Giang,Lang Giang,lg,Huyện Lạng Giang,Lang Giang District,langgiang,24
218,Lục Nam,Luc Nam,ln,Huyện Lục Nam,Luc Nam District,lucnam,24
219,Lục Ngạn,Luc Ngan,ln,Huyện Lục Ngạn,Luc Ngan District,lucngan,24
220,Sơn Động,Son Dong,sd,Huyện Sơn Động,Son Dong District,sondong,24
221,Yên Dũng,Yen Dung,yd,Huyện Yên Dũng,Yen Dung District,yendung,24
222,Việt Yên,Viet Yen,vy,Thị xã Việt Yên,Viet Yen Town,vietyen,24
223,Hiệp Hòa,Hiep Hoa,hh,Huyện Hiệp Hòa,Hiep Hoa District,hiephoa,24
227,Việt Trì,Viet Tri,vt,Thành phố Việt Trì,Viet Tri City,viettri,25
228,Phú Thọ,Phu Tho,pt,Thị xã Phú Thọ,Phu Tho Town,phutho,25
230,Đoan Hùng,Doan Hung,dh,Huyện Đoan Hùng,Doan Hung District,doanhung,25
231,Hạ Hoà,Ha Hoa,hh,Huyện Hạ Hoà,Ha Hoa District,hahoa,25
232,Thanh Ba,Thanh Ba,tb,Huyện Thanh Ba,Thanh Ba District,thanhba,25
233,Phù Ninh,Phu Ninh,pn,Huyện Phù Ninh,Phu Ninh District,phuninh,25
234,Yên Lập,Yen Lap,yl,Huyện Yên Lập,Yen Lap District,yenlap,25
235,Cẩm Khê,Cam Khe,ck,Huyện Cẩm Khê,Cam Khe District,camkhe,25
236,Tam Nông,Tam Nong,tn,Huyện Tam Nông,Tam Nong District,tamnong,25
237,Lâm Thao,Lam Thao,lt,Huyện Lâm Thao,Lam Thao District,lamthao,25
238,Thanh Sơn,Thanh Son,ts,Huyện Thanh Sơn,Thanh Son District,thanhson,25
239,Thanh Thuỷ,Thanh Thuy,tt,Huyện Thanh Thuỷ,Thanh Thuy District,thanhthuy,25
240,Tân Sơn,Tan Son,ts,Huyện Tân Sơn,Tan Son District,tanson,25
243,Vĩnh Yên,Vinh Yen,vy,Thành phố Vĩnh Yên,Vinh Yen City,vinhyen,26
244,Phúc Yên,Phuc Yen,py,Thành phố Phúc Yên,Phuc Yen City,phucyen,26
246,Lập Thạch,Lap Thach,lt,Huyện Lập Thạch,Lap Thach District,lapthach,26
247,Tam Dương,Tam Duong,td,Huyện Tam Dương,Tam Duong District,tamduong,26
248,Tam Đảo,Tam Dao,td,Huyện Tam Đảo,Tam Dao District,tamdao,26
249,Bình Xuyên,Binh Xuyen,bx,Huyện Bình Xuyên,Binh Xuyen District,binhxuyen,26
250,Mê Linh,Me Linh,ml,Huyện Mê Linh,Me Linh District,melinh,01
251,Yên Lạc,Yen Lac,yl,Huyện Yên Lạc,Yen Lac District,yenlac,26
252,Vĩnh Tường,Vinh Tuong,vt,Huyện Vĩnh Tường,Vinh Tuong District,vinhtuong,26
253,Sông Lô,Song Lo,sl,Huyện Sông Lô,Song Lo District,songlo,26
256,Bắc Ninh,Bac Ninh,bn,Thành phố Bắc Ninh,Bac Ninh City,bacninh,27
258,Yên Phong,Yen Phong,yp,Huyện Yên Phong,Yen Phong District,yenphong,27
259,Quế Võ,Que Vo,qv,Thị xã Quế Võ,Que Vo Town,quevo,27
260,Tiên Du,Tien Du,td,Huyện Tiên Du,Tien Du District,tiendu,27
261,Từ Sơn,Tu Son,ts,Thành phố Từ Sơn,Tu Son City,tuson,27
262,Thuận Thành,Thuan Thanh,tt,Thị xã Thuận Thành,Thuan Thanh Town,thuanthanh,27
263,Gia Bình,Gia Binh,gb,Huyện Gia Bình,Gia Binh District,giabinh,27
264,Lương Tài,Luong Tai,lt,Huyện Lương Tài,Luong Tai District,luongtai,27
268,Hà Đông,Ha Dong,hd,Quận Hà Đông,Ha Dong District,hadong,01
269,Sơn Tây,Son Tay,st,Thị xã Sơn Tây,Son Tay Town,sontay,01
271,Ba Vì,Ba Vi,bv,Huyện Ba Vì,Ba Vi District,bavi,01
272,Phúc Thọ,Phuc Tho,pt,Huyện Phúc Thọ,Phuc Tho District,phuctho,01
273,Đan Phượng,Dan Phuong,dp,Huyện Đan Phượng,Dan Phuong District,danphuong,01
274,Hoài Đức,Hoai Duc,hd,Huyện Hoài Đức,Hoai Duc District,hoaiduc,01
275,Quốc Oai,Quoc Oai,qo,Huyện Quốc Oai,Quoc Oai District,quocoai,01
276,Thạch Thất,Thach That,tt,Huyện Thạch Thất,Thach That District,thachthat,01
277,Chương Mỹ,Chuong My,cm,Huyện Chương Mỹ,Chuong My District,chuongmy,01
278,Thanh Oai,Thanh Oai,to,Huyện Thanh Oai,Thanh Oai District,thanhoai,01
279,Thường Tín,Thuong Tin,tt,Huyện Thường Tín,Thuong Tin District,thuongtin,01
280,Phú Xuyên,Phu Xuyen,px,Huyện Phú Xuyên,Phu Xuyen District,phuxuyen,01
281,Ứng Hòa,Ung Hoa,uh,Huyện Ứng Hòa,Ung Hoa District,unghoa,01
282,Mỹ Đức,My Duc,md,Huyện Mỹ Đức,My Duc District,myduc,01
288,Hải Dương,Hai Duong,hd,Thành phố Hải Dương,Hai Duong City,haiduong,30
290,Chí Linh,Chi Linh,cl,Thành phố Chí Linh,Chi Linh City,chilinh,30
291,Nam Sách,Nam Sach,ns,Huyện Nam Sách,Nam Sach District,namsach,30
292,Kinh Môn,Kinh Mon,km,Thị xã Kinh Môn,Kinh Mon Town,kinhmon,30
293,Kim Thành,Kim Thanh,kt,Huyện Kim Thành,Kim Thanh District,kimthanh,30
294,Thanh Hà,Thanh Ha,th,Huyện Thanh Hà,Thanh Ha District,thanhha,30
295,Cẩm Giàng,Cam Giang,cg,Huyện Cẩm Giàng,Cam Giang District,camgiang,30
296,Bình Giang,Binh Giang,bg,Huyện Bình Giang,Binh Giang District,binhgiang,30
297,Gia Lộc,Gia Loc,gl,Huyện Gia Lộc,Gia Loc District,gialoc,30
298,Tứ Kỳ,Tu Ky,tk,Huyện Tứ Kỳ,Tu Ky District,tuky,30
299,Ninh Giang,Ninh Giang,ng,Huyện Ninh Giang,Ninh Giang District,ninhgiang,30
300,Thanh Miện,Thanh Mien,tm,Huyện Thanh Miện,Thanh Mien District,thanhmien,30
303,Hồng Bàng,Hong Bang,hb,Quận Hồng Bàng,Hong Bang District,hongbang,31
304,Ngô Quyền,Ngo Quyen,nq,Quận Ngô Quyền,Ngo Quyen District,ngoquyen,31
305,Lê Chân,Le Chan,lc,Quận Lê Chân,Le Chan District,lechan,31
306,Hải An,Hai An,ha,Quận Hải An,Hai An District,haian,31
307,Kiến An,Kien An,ka,Quận Kiến An,Kien An District,kienan,31
308,Đồ Sơn,Do Son,ds,Quận Đồ Sơn,Do Son District,doson,31
309,Dương Kinh,Duong Kinh,dk,Quận Dương Kinh,Duong Kinh District,duongkinh,31
311,Thuỷ Nguyên,Thuy Nguyen,tn,Huyện Thuỷ Nguyên,Thuy Nguyen District,thuynguyen,31
312,An Dương,An Duong,ad,Huyện An Dương,An Duong District,anduong,31
313,An Lão,An Lao,al,Huyện An Lão,An Lao District,anlao,31
314,Kiến Thuỵ,Kien Thuy,kt,Huyện Kiến Thuỵ,Kien Thuy District,kienthuy,31
315,Tiên Lãng,Tien Lang,tl,Huyện Tiên Lãng,Tien Lang District,tienlang,31
316,Vĩnh Bảo,Vinh Bao,vb,Huyện Vĩnh Bảo,Vinh Bao District,vinhbao,31
317,Cát Hải,Cat Hai,ch,Huyện Cát Hải,Cat Hai District,cathai,31
323,Hưng Yên,Hung Yen,hy,Thành phố Hưng Yên,Hung Yen City,hungyen,33
325,Văn Lâm,Van Lam,vl,Huyện Văn Lâm,Van Lam District,vanlam,33
326,Văn Giang,Van Giang,vg,Huyện Văn Giang,Van Giang District,vangiang,33
327,Yên Mỹ,Yen My,ym,Huyện Yên Mỹ,Yen My District,yenmy,33
328,Mỹ Hào,My Hao,mh,Thị xã Mỹ Hào,My Hao Town,myhao,33
329,Ân Thi,An Thi,at,Huyện Ân Thi,An Thi District,anthi,33
330,Khoái Châu,Khoai Chau,kc,Huyện Khoái Châu,Khoai Chau District,khoaichau,33
331,Kim Động,Kim Dong,kd,Huyện Kim Động,Kim Dong District,kimdong,33
332,Tiên Lữ,Tien Lu,tl,Huyện Tiên Lữ,Tien Lu District,tienlu,33
333,Phù Cừ,Phu Cu,pc,Huyện Phù Cừ,Phu Cu District,phucu,33
336,Thái Bình,Thai Binh,tb,Thành phố Thái Bình,Thai Binh City,thaibinh,34
338,Quỳnh Phụ,Quynh Phu,qp,Huyện Quỳnh Phụ,Quynh Phu District,quynhphu,34
339,Hưng Hà,Hung Ha,hh,Huyện Hưng Hà,Hung Ha District,hungha,34
340,Đông Hưng,Dong Hung,dh,Huyện Đông Hưng,Dong Hung District,donghung,34
341,Thái Thụy,Thai Thuy,tt,Huyện Thái Thụy,Thai Thuy District,thaithuy,34
342,Tiền Hải,Tien Hai,th,Huyện Tiền Hải,Tien Hai District,tienhai,34
343,Kiến Xương,Kien Xuong,kx,Huyện Kiến Xương,Kien Xuong District,kienxuong,34
344,Vũ Thư,Vu Thu,vt,Huyện Vũ Thư,Vu Thu District,vuthu,34
347,Phủ Lý,Phu Ly,pl,Thành phố Phủ Lý,Phu Ly City,phuly,35
349,Duy Tiên,Duy Tien,dt,Thị xã Duy Tiên,Duy Tien Town,duytien,35
350,Kim Bảng,Kim Bang,kb,Huyện Kim Bảng,Kim Bang District,kimbang,35
351,Thanh Liêm,Thanh Liem,tl,Huyện Thanh Liêm,Thanh Liem District,thanhliem,35
352,Bình Lục,Binh Luc,bl,Huyện Bình Lục,Binh Luc District,binhluc,35
353,Lý Nhân,Ly Nhan,ln,Huyện Lý Nhân,Ly Nhan District,lynhan,35
356,Nam Định,Nam Dinh,nd,Thành phố Nam Định,Nam Dinh City,namdinh,36
358,Mỹ Lộc,My Loc,ml,Huyện Mỹ Lộc,My Loc District,myloc,36
359,Vụ Bản,Vu Ban,vb,Huyện Vụ Bản,Vu Ban District,vuban,36
360,Ý Yên,Y Yen,yy,Huyện Ý Yên,Y Yen District,yyen,36
361,Nghĩa Hưng,Nghia Hung,nh,Huyện Nghĩa Hưng,Nghia Hung District,nghiahung,36
362,Nam Trực,Nam Truc,nt,Huyện Nam Trực,Nam Truc District,namtruc,36
363,Trực Ninh,Truc Ninh,tn,Huyện Trực Ninh,Truc Ninh District,trucninh,36
364,Xuân Trường,Xuan Truong,xt,Huyện Xuân Trường,Xuan Truong District,xuantruong,36
365,Giao Thủy,Giao Thuy,gt,Huyện Giao Thủy,Giao Thuy District,giaothuy,36
366,Hải Hậu,Hai Hau,hh,Huyện Hải Hậu,Hai Hau District,haihau,36
369,Ninh Bình,Ninh Binh,nb,Thành phố Ninh Bình,Ninh Binh City,ninhbinh,37
370,Tam Điệp,Tam Diep,td,Thành phố Tam Điệp,Tam Diep City,tamdiep,37
372,Nho Quan,Nho Quan,nq,Huyện Nho Quan,Nho Quan District,nhoquan,37
373,Gia Viễn,Gia Vien,gv,Huyện Gia Viễn,Gia Vien District,giavien,37
374,Hoa Lư,Hoa Lu,hl,Huyện Hoa Lư,Hoa Lu District,hoalu,37
375,Yên Khánh,Yen Khanh,yk,Huyện Yên Khánh,Yen Khanh District,yenkhanh,37
376,Kim Sơn,Kim Son,ks,Huyện Kim Sơn,Kim Son District,kimson,37
377,Yên Mô,Yen Mo,ym,Huyện Yên Mô,Yen Mo District,yenmo,37
380,Thanh Hóa,Thanh Hoa,th,Thành phố Thanh Hóa,Thanh Hoa City,thanhhoa,38
381,Bỉm Sơn,Bim Son,bs,Thị xã Bỉm Sơn,Bim Son Town,bimson,38
382,Sầm Sơn,Sam Son,ss,Thành phố Sầm Sơn,Sam Son City,samson,38
384,Mường Lát,Muong Lat,ml,Huyện Mường Lát,Muong Lat District,muonglat,38
385,Quan Hóa,Quan Hoa,qh,Huyện Quan Hóa,Quan Hoa District,quanhoa,38
386,Bá Thước,Ba Thuoc,bt,Huyện Bá Thước,Ba Thuoc District,bathuoc,38
387,Quan Sơn,Quan Son,qs,Huyện Quan Sơn,Quan Son District,quanson,38
388,Lang Chánh,Lang Chanh,lc,Huyện Lang Chánh,Lang Chanh District,langchanh,38
389,Ngọc Lặc,Ngoc Lac,nl,Huyện Ngọc Lặc,Ngoc Lac District,ngoclac,38
390,Cẩm Thủy,Cam Thuy,ct,Huyện Cẩm Thủy,Cam Thuy District,camthuy,38
391,Thạch Thành,Thach Thanh,tt,Huyện Thạch Thành,Thach Thanh District,thachthanh,38
392,Hà Trung,Ha Trung,ht,Huyện Hà Trung,Ha Trung District,hatrung,38
393,Vĩnh Lộc,Vinh Loc,vl,Huyện Vĩnh Lộc,Vinh Loc District,vinhloc,38
394,Yên Định,Yen Dinh,yd,Huyện Yên Định,Yen Dinh District,yendinh,38
395,Thọ Xuân,Tho Xuan,tx,Huyện Thọ Xuân,Tho Xuan District,thoxuan,38
396,Thường Xuân,Thuong Xuan,tx,Huyện Thường Xuân,Thuong Xuan District,thuongxuan,38
397,Triệu Sơn,Trieu Son,ts,Huyện Triệu Sơn,Trieu Son District,trieuson,38
398,Thiệu Hóa,Thieu Hoa,th,Huyện Thiệu Hóa,Thieu Hoa District,thieuhoa,38
399,Hoằng Hóa,Hoang Hoa,hh,Huyện Hoằng Hóa,Hoang Hoa District,hoanghoa,38
400,Hậu Lộc,Hau Loc,hl,Huyện Hậu Lộc,Hau Loc District,hauloc,38
401,Nga Sơn,Nga Son,ns,Huyện Nga Sơn,Nga Son District,ngason,38
402,Như Xuân,Nhu Xuan,nx,Huyện Như Xuân,Nhu Xuan District,nhuxuan,38
403,Như Thanh,Nhu Thanh,nt,Huyện Như Thanh,Nhu Thanh District,nhuthanh,38
404,Nông Cống,Nong Cong,nc,Huyện Nông Cống,Nong Cong District,nongcong,38
405,Đông Sơn,Dong Son,ds,Huyện Đông Sơn,Dong Son District,dongson,38
406,Quảng Xương,Quang Xuong,qx,Huyện Quảng Xương,Quang Xuong District,quangxuong,38
407,Nghi Sơn,Nghi Son,ns,Thị xã Nghi Sơn,Nghi Son Town,nghison,38
412,Vinh,Vinh,vv,Thành phố Vinh,Vinh City,vinh,40
