user_id,event_timestamp,event_date,vin,service_id,service_name,dealer_id,Customer_ID,UID
866633,1615540287648053,20210312,"YUssI2FHqrcM3sEX3aaxr5/dtOae8UxPu2o5fE4+UOw=
","6, 3, ","Periodic Inspection, Maintenance, ",39007,866633,949356423
833624,1609824020174011,20210105,RLHKC3717KY005359,4,KTDK Lần 4,23003,833624,974786106
4220796,1632972363871039,20210930,TIbb18sY26/K5M7XITThPAPYZGa/w0HEegIyXCuz8YM=,2,KTDK Lần 2,38018,4220796,979392345
5290791,1640277854753071,20211223,IIGGVbCJkyXui8OmmBROtql7Iw2Fla5sjGUJL7ThOnc=,1,KTDK Lần 1,42047,5290791,908336501
796213,1613749125083020,20210219,bh4pX/3Ol3diIOjOyJx65d3WRE4qIzn0oeGWw4RDwIo=,3,KTDK Lần 3,42058,796213,909399382
4173900,1620167343357022,20210505,"/tMnNTTR81p/dMTUChy4pQKmye3jXH2/hRt/cSwRMig=
","6, ","Periodic Inspection, ",42042,4173900,982259294
5069843,1647830895748000,20220321,h/V6ZWmZJvlqeTuTLwOC0ScZd8v3QbjUCmaM/Rk+ANI=,2,KTDK Lần 2,42049,5069843,862261089
3609991,1614591367261036,20210301,Rj0hjT7NM11gSkwUF3+M8d8yluViUDStU3ELpAs9RBI=,5,KTDK Lần 5,41007,3609991,937348666
3466514,1633753795009025,20211009,DWMRibqQIeEoAx6bxn6Ueb6RiXEmj7fpp5VYOWO1XYg=,,,42024,3466514,987076900
100772,1646401008677063,20220304,aQzh3xtfk3NVuSTevHq/E/69hfGQxYNTD/TLh36w31c=,4,KTDK Lần 4,48011,100772,913808778
3662306,1642207836011032,20220115,HgAlturWsn2LKD1i7yC98x+xIaAi4pDC+/XLakDoUL4=,,,30017,3662306,905150536
2569298,1636586920029038,20211111,PWR3LoXTaKmrAIHp62LIHphTrtuoWE7lvsGhdP8e+44=,3,KTDK Lần 3,42003,2569298,913435181
5169520,1650202053245016,20220417,i69IzAcsIDmJ38eIPmGEc4a6MRXz7XudRkGbOU27Iwo=,2,KTDK Lần 2,14042,5169520,919198276
2652524,1635174675599031,20211025,"C+raSP+NTStc8pSYliz8poffIke+GlC7p0K81UDDruw=
","3, ","Maintenance, ",41013,2652524,909172172
4512979,1622867342069033,20210605,"6azkooClm1EVkPX1rL3zcR2/FKaUjFT63IoNz80pVxA=
","1, ","Heavy repair, ",39027,4512979,937655916
2677574,1648207999299020,20220325,Z4nQU3R/ye7Zgp5jBAevZ1Uo0ODOVSh5syUQV+2daR8=,1,KTDK Lần 1,42048,2677574,984845979
4052962,1648831418367140,20220401,DZthPaDq4glu3XEcQbJiFF/Hnp25s6W9TsKhXFDutNU=,,,39007,4052962,913755760
3600939,1623889081753020,20210617,"DzalNiUjxUePbqIbX5atN0tVFCKa/Kt5ac988SCCEzU=
","6, 2, 3, ","Periodic Inspection, Change oil, Maintenance, ",34010,3600939,908508023
5208838,1638154371193006,20211129,7UyVxoIsw0ijm8qcqNP34a/p/AGPSmH6fCyCwIil18I=,1,KTDK Lần 1,38022,5208838,972838839
