ro_order,customer_id,rate_service_point,rate_service_note,rate_mechanic_option_id,rate_mechanic_point,rate_mechanic_note,rate_mechanic_option_id.1,dealer_code,emp_code,Customer_ID,UID,rate_chatbot_point,rate_chatbot_agent_point
1-1M9FBOE,3580932,5, NULL,"1,2,3,6",5, NULL,"1,2,3,6",42036,HTE001_42036,3580932,918611225,0,0
1-1MWDDC5,4067845,5, NULL, NULL,5, NULL, NULL,42062,HTE010_42062,4067845,868229479,0,0
1-1N28RXC,2208185,5, NULL, NULL,5, NULL, NULL,42004,HTE001_42004,2208185,908368466,5,0
1-1N5J1KH,3903973,4, NULL, NULL,0, NULL, NULL,42012,HTE032_42012,3903973,933712979,0,0
1-1N7AFAL,2935917,5, NULL,"2,4",5, NULL,"2,4",39006,HTE008_39006,2935917,916299399,0,0
1-1N9C3D0,3162478,4, NULL, NULL,4, NULL, NULL,42074,HTE009_42074,3162478,913629898,0,0
1-1NHWIRL,464296,5, NULL,"1,4,2,5,3,6",5, NULL,"1,4,2,5,3,6",27012,HTE005_27012,464296,393616046,0,0
1-1NL9CPZ,2436875,5, NULL,"1,4,2,5,3,6",5, NULL,"1,4,2,5,3,6",27016,HTE001_27016,2436875,855089999,0,0
1-1NPE0G8,1555991,5, NULL, NULL,0, NULL, NULL,11010,WSS002_11201,1555991,978603106,4,0
1-1OGNXPZ,1840560,3, NULL,5,4, NULL,5,16002,HTE008_16002,1840560,912095528,0,0
