user_id,event_date,product_type,product_id,product_name,rate_star,Customer_ID,UID
2210,20211001,mc,64,CBR150R,5,2210,886901888
3589213,20210308,mc,20,CB300R,5,3589213,914641366
4500910,20211223,mc,75,Sh mode 125cc,5,4500910,852206666
3698576,20210724,mc,20,CB300R,4,3698576,918232535
4185241,20210902,mc,60,SH350i,5,4185241,832672925
1396367,20210817,mc,20,CB300R,5,1396367,932033624
5746912,20231014,mc,98,Gold Wing,1,5746912,375883988
5746912,20240101,mc,107,Vision phiên bản cổ điển,5,5746912,375883988
2300464,20211017,mc,42,Air Blade 125/150,5,2300464,988997796
4370283,20210730,mc,49,CBR1000RR-R Fireblade,5,4370283,905285128
2726463,20201127,mc,37,CB500F,5,2726463,913222291
187231,20201127,mc,42,Air Blade 125/150,5,187231,933879807
3314005,20211119,mc,60,SH350i,5,3314005,943982886
2814412,20230815,mc,95,Blade 2023,1,2814412,917630778
3415933,20210125,mc,15,SH300i,5,3415933,931227116
4165869,20210409,mc,8,PCX Hybrid,5,4165869,948180901
48590,20201027,mc,37,CB500F,5,48590,936962646
1460035,20201107,mc,43,Sh mode,5,1460035,978644430
930242,20201006,mc,43,Sh mode,1,930242,905018518
1817466,20200821,mc,11,Monkey,5,1817466,376702638
3435639,20220815,mc,82,CB150R The Streetster,5,3435639,912994868
3406638,20210612,mc,47,Vision (Cá tính),5,3406638,983839981
3333421,20210116,mc,42,Air Blade 125/150,1,3333421,91554046
1684106,20230524,mc,72,Future 125 FI,5,1684106,975535779
2653086,20201118,mc,44,Winner X,5,2653086,765501291
2210,20200718,mc,43,Sh mode,5,2210,886901888
3701138,20210210,mc,42,Air Blade 125/150,4,3701138,909594688
2210,20220429,mc,71,Super Cub C125,5,2210,886901888
6030,20220206,mc,13,CB150R,5,6030,983558765
4437236,20210805,mc,8,PCX Hybrid,5,4437236,909862301
3698576,20210724,mc,54,CB500F 2021,1,3698576,918232535
9698576,20240125,mc,115,CB350 H'ness,5,9698576,912862326
95020,20210321,mc,42,Air Blade 125/150,5,95020,912510765
3672870,20210520,mc,46,Blade 110,5,3672870,908212001
1318245,20210322,mc,8,PCX Hybrid,5,1318245,918856554
5746912,20231003,mc,98,Gold Wing,1,5746912,375883988
4313564,20210501,mc,26,Super CUB C125,5,4313564,964501662
1624424,20210403,mc,26,Super CUB C125,4,1624424,362660249
4818493,20210725,mc,32,SH 125i/150i,4,4818493,96252868
2091608,20201130,mc,22,Wave Alpha 110cc,4,2091608,967367439
3698576,20210724,mc,50,CBR650R 2021,5,3698576,918232535
429093,20210703,mc,42,Air Blade 125/150,5,429093,983030189
3698576,20210724,mc,24,CB1000R,4,3698576,918232535
2814412,20230815,mc,95,Blade 2023,2,2814412,917630778
12974,20210131,mc,40,Rebel 300,5,12974,972678326
664827,20210925,mc,22,Wave Alpha 110cc,5,664827,979696336
3698576,20210724,mc,51,CB650R 2021,4,3698576,918232535
1590560,20200713,mc,32,SH 125i/150i,5,1590560,985099706
3648086,20210829,mc,32,SH 125i/150i,5,3648086,911229770
4397712,20210606,mc,42,Air Blade 125/150,5,4397712,938777891
3698576,20210724,mc,49,CBR1000RR-R Fireblade,4,3698576,918232535
2210,20220819,mc,84,Wave Alpha 110cc 2023,5,2210,886901888
2206,20231209,mc,112,Winner X 2024,5,2206,912979995
2210,20201213,mc,48,Vision,5,2210,886901888
2814412,20211106,mc,13,CB150R,4,2814412,917630778
288026,20201104,mc,31,LEAD,5,288026,937899765
2814412,20230815,mc,95,Blade 2023,3,2814412,917630778
1286642,20200805,mc,42,Air Blade 125/150,3,1286642,962305000
3698576,20210724,mc,40,Rebel 300,4,3698576,918232535
288026,20210413,mc,43,Sh mode,5,288026,937899765
4201846,20210419,mc,35,Goldwing,5,4201846,972659190
7048,20211214,mc,51,CB650R 2021,5,7048,973968077
2726463,20220528,mc,79,Rebel 500 2022,5,2726463,913222291
5746912,20231231,mc,93,SH350i 2023,5,5746912,375883988
3470741,20210204,mc,26,Super CUB C125,5,3470741,977595784
2249,20210825,mc,60,SH350i,5,2249,912862326
2837346,20210101,mc,27,Future FI,5,2837346,913114986
4373116,20210506,mc,56,CBR1000RR-R Fireblade SP,5,4373116,917021992
2836100,20201207,mc,15,SH300i,5,2836100,914454232
3698576,20210724,mc,53,CBR500R 2021,4,3698576,918232535
2420215,20201214,mc,48,Vision,5,2420215,932923290
2875897,20210619,mc,32,SH 125i/150i,5,2875897,918417254
288026,20201218,mc,48,Vision,5,288026,937899765
2210,20210825,mc,60,SH350i,5,2210,886901888
2435107,20201212,mc,26,Super CUB C125,5,2435107,933958818
5699530,20220304,mc,63,SH125i/ 150i,5,5699530,987043239
1884835,20210618,mc,27,Future FI,5,1884835,909683505
2814412,20211106,mc,40,Rebel 300,5,2814412,917630778
1396367,20210408,mc,58,Winner X,5,1396367,932033624
3396570,20210121,mc,48,Vision,4,3396570,378887581
2210,20210827,mc,59,Africa Twin 2021,5,2210,886901888
1396367,20210307,mc,44,Winner X,5,1396367,932033624
9128,20200914,mc,32,SH 125i/150i,5,9128,905538900
4545271,20210710,mc,26,Super CUB C125,4,4545271,986916913
243752,20210509,mc,32,SH 125i/150i,5,243752,986512682
6659564,20230318,mc,92,SH160i/125i,5,6659564,901799899
5746912,20231014,mc,105,Transalp,5,5746912,375883988
622984,20210428,mc,27,Future FI,5,622984,909999101
2210,20200923,mc,44,Winner X,5,2210,886901888
485336,20200809,mc,43,Sh mode,5,485336,913201109
1875728,20200818,mc,43,Sh mode,5,1875728,0
7048,20230105,mc,51,CB650R 2021,5,7048,973968077
3698576,20210724,mc,59,Africa Twin 2021,5,3698576,918232535
2726463,20220731,mc,79,Rebel 500 2022,5,2726463,913222291
22326,20200813,mc,39,Rebel 500,5,22326,902571636
2763506,20201201,mc,32,SH 125i/150i,5,2763506,94436855
3698576,20210724,mc,35,Goldwing,4,3698576,918232535
2814412,20230815,mc,95,Blade 2023,5,2814412,917630778
1995140,20210222,mc,43,Sh mode,5,1995140,388244501
3698576,20210724,mc,56,CBR1000RR-R Fireblade SP,5,3698576,918232535
2723450,20210201,mc,27,Future FI,1,2723450,938888807
562435,20210418,mc,27,Future FI,5,562435,934126679
1348606,20201212,mc,43,Sh mode,5,1348606,969960067
4068219,20220307,mc,63,SH125i/ 150i,5,4068219,938863181
3698576,20210724,mc,56,CBR1000RR-R Fireblade SP,4,3698576,918232535
3829012,20210227,mc,15,SH300i,3,3829012,913316907
2135583,20200920,mc,22,Wave Alpha,5,2135583,911522809
4585326,20210612,mc,9,PCX,5,4585326,913654844
2514049,20210312,mc,32,SH 125i/150i,5,2514049,985835469
61281,20220623,mc,46,Blade 110,5,61281,937676627
1808558,20210521,mc,53,CBR500R 2021,5,1808558,392287944
9229188,20240104,mc,109,Sh mode 125cc,5,9229188,985158989
657548,20210201,mc,14,MSX,5,657548,916680839
4185241,20210902,mc,60,SH350i,4,4185241,832672925
12974,20210131,mc,11,Monkey,5,12974,972678326
2210,20220417,mc,69,Gold Wing 2022,5,2210,886901888
5295454,20211120,mc,31,LEAD,5,5295454,369282568
2206,20210528,mc,55,Rebel 500 2021,5,2206,912979995
