user_id,event_date,product_id,product_name,view_type,duration,promotion_id,promotion_name,Customer_ID,UID
715000,20200723,25,Blade,general,8,,,715000,967404772
2296183,20201011,25,Blade,general,28,,,2296183,918290058
2915507,20210108,29,CBR1000RR,price and color,10,,,2915507,0
1752917,20200910,33,CBR1000RR-SP,general,21,,,1752917,934677797
1038095,20201130,39,Rebel 500,general,15,,,1038095,933649989
2240674,20210206,39,Rebel 500,general,11,,,2240674,904127018
4373726,20221128,81,Rebel 1100,general,10,,,4373726,938375273
4278790,20221015,59,Africa Twin 2021,general,1,,,4278790,839373579
2450774,20201110,37,CB500F,general,15,,,2450774,358647570
6144809,20220718,81,Rebel 1100,gallery,3,,,6144809,982815769
411037,20231022,97,CBR150R,general,2,,,411037,937979670
2251238,20231110,110,Vario 125,general,4,,,2251238,866686778
664819,20210529,59,Africa Twin 2021,general,13,,,664819,903041114
482753,20231123,95,Blade 2023,price and color,31,,,482753,898915859
9548621,20231124,110,Vario 125,general,26,,,9548621,935245565
6223241,20230524,97,CBR150R,specification,30,,,6223241,359042541
3179020,20231106,110,Vario 125,price and color,17,,,3179020,917399151
5305830,20230623,98,Gold Wing,general,4,,,5305830,796575667
3588149,20230724,86,CB500F 2022,specification,20,,,3588149,989199286
2137579,20240205,111,Wave RSX FI,general,3,,,2137579,346441666
5649620,20240205,113,Future 125 FI,general,11,,,5649620,982876255
3179020,20230831,98,Gold Wing,general,6,,,3179020,917399151
251885,20231013,95,Blade 2023,general,2,,,251885,911408525
5746912,20240101,106,Wave Alpha phiên bản cổ điển,general,36,,,5746912,375883988
481957,20200708,10,SH Mode,general,4,,,481957,98831678
3320176,20210116,41,CB500X,general,62,,,3320176,918502235
16103,20201106,4,CBR650R,price and color,43,,,16103,982353710
3938,20201230,36,CB650R,specification,2,,,3938,942424228
2926980,20210201,41,CB500X,general,12,,,2926980,902168178
2209078,20200928,25,Blade,gallery,1,,,2209078,704181198
3669,20200920,39,Rebel 500,gallery,2,,,3669,916630635
1437838,20200815,12,Winner X,general,73,,,1437838,919212292
489428,20231105,110,Vario 125,general,9,,,489428,908777678
2563630,20201113,25,Blade,general,3,,,2563630,905138660
2600471,20201111,33,CBR1000RR-SP,general,24,,,2600471,967888413
936476,20201006,39,Rebel 500,gallery,4,,,936476,905205080
450327,20201209,38,CBR500R,general,28,,,450327,947521976
1853354,20210211,38,CBR500R,specification,5,,,1853354,915106585
2512184,20230705,99,Rebel 1100 2023,price and color,6,,,2512184,834959888
4163484,20230607,99,Rebel 1100 2023,general,1,,,4163484,976601539
2512184,20240109,86,CB500F 2022,specification,1,,,2512184,834959888
2235764,20201217,37,CB500F,general,30,,,2235764,906821515
4380465,20211012,59,Africa Twin 2021,general,2,,,4380465,919309894
3585089,20211016,59,Africa Twin 2021,gallery,5,,,3585089,937657568
88617,20231221,59,Africa Twin 2021,general,1,,,88617,904234323
3630823,20230405,97,CBR150R,general,32,,,3630823,914597369
2382269,20220114,53,CBR500R 2021,specification,0,,,2382269,975190891
73573,20230710,95,Blade 2023,specification,4,,,73573,908070790
4307452,20230317,86,CB500F 2022,specification,0,,,4307452,909112200
2206,20230326,59,Africa Twin 2021,price and color,1709,,,2206,912979995
2296183,20231129,106,Wave Alpha phiên bản cổ điển,general,13,,,2296183,918290058
3785957,20210302,38,CBR500R,general,6,,,3785957,984709648
24370,20230831,86,CB500F 2022,gallery,6,,,24370,988962358
576875,20221117,59,Africa Twin 2021,specification,13,,,576875,908397718
1650146,20231225,111,Wave RSX FI,general,12,,,1650146,988433344
5648,20230720,95,Blade 2023,general,2,,,5648,967923939
4475771,20210523,53,CBR500R 2021,general,3,,,4475771,919955900
16004,20211021,59,Africa Twin 2021,general,1,,,16004,978389597
7456379,20231210,111,Wave RSX FI,general,32,,,7456379,988889165
1323425,20201118,33,CBR1000RR-SP,gallery,3,,,1323425,974665839
